sale_id,time_id,product_id,customer_id,salesperson_id,quantity,unit_price,discount,total_amount
95,393,431,1383,28,4,4845.59,0.012,19149.77
96,938,388,15,46,2,1136.18,0.185,1851.97
97,643,461,1187,17,2,4901.42,0.091,8910.78
98,164,301,1684,16,10,210.89,0.011,2085.7
99,342,92,14,16,3,4528.05,0.024,13258.13
100,62,405,664,42,3,3941.26,0.14,10168.45
101,891,72,459,5,3,1204.87,0.099,3256.76
102,867,497,1500,31,6,4771.16,0.105,25621.13
103,891,365,676,1,5,3625.68,0.033,17530.16
104,950,105,1289,9,3,3643.79,0.15,9291.66
105,123,371,1934,22,5,237.12,0.147,1011.32
106,670,125,1300,28,2,314.18,0.154,531.59
107,792,32,377,40,1,3426.23,0.067,3196.67
108,313,375,365,44,7,521.91,0.054,3456.09
109,574,358,564,45,2,3517.25,0.053,6661.67
110,942,17,1738,29,10,2890.99,0.126,25267.25
111,675,26,874,38,8,4683.91,0.091,34061.39
112,585,241,1145,32,6,2882.6,0.011,17105.35
113,511,392,790,9,10,2847.46,0.033,27534.94
114,95,166,1193,50,3,3189.2,0.051,9079.65
115,950,138,1241,23,2,3351.93,0.179,5503.87
116,1044,358,979,37,2,3517.25,0.046,6710.91
117,546,191,464,41,9,1005.87,0.001,9043.78
118,113,470,1205,6,1,4189.0,0.049,3983.74
119,715,98,483,37,8,3925.25,0.073,29109.65
120,886,229,1940,32,3,3381.38,0.036,9778.95
121,1079,491,182,29,1,4850.08,0.111,4311.72
122,1062,238,1661,22,7,4919.84,0.045,32889.13
123,96,149,1898,46,4,1432.09,0.083,5252.91
124,651,8,1394,31,6,4786.49,0.054,27168.12
125,566,27,1069,9,2,366.3,0.114,649.08
126,599,449,410,24,2,2196.2,0.1,3953.16
127,270,278,1435,35,1,2695.72,0.036,2598.67
128,890,66,1357,11,9,1875.83,0.196,13573.51
129,505,332,875,9,7,3875.46,0.014,26748.42
130,555,110,104,24,8,2221.22,0.173,14695.59
131,410,318,347,41,5,3864.68,0.065,18067.38
132,387,219,268,24,9,1485.32,0.091,12151.4
133,863,162,2000,22,6,2447.77,0.04,14099.16
134,815,487,878,18,10,4372.21,0.157,36857.73
135,111,69,322,50,10,1627.54,0.049,15477.91
136,1069,136,1692,34,6,2830.48,0.118,14978.9
137,55,383,269,40,8,277.51,0.2,1776.06
138,278,129,1824,22,4,409.76,0.146,1399.74
139,424,358,1856,12,9,3517.25,0.152,26843.65
140,1013,83,1834,38,4,2000.97,0.03,7763.76
141,1071,459,51,23,7,1466.39,0.005,10213.41
142,1057,53,776,31,9,4305.29,0.069,36074.02
143,292,480,722,5,1,2370.15,0.19,1919.82
144,748,228,1058,17,1,2330.29,0.152,1976.09
145,925,419,791,48,7,4448.22,0.17,25844.16
146,97,113,570,10,5,4845.29,0.021,23717.69
147,249,435,991,6,9,2064.11,0.197,14917.32
148,107,70,1405,30,7,568.22,0.098,3587.74
149,137,14,1710,5,1,403.21,0.195,324.58
150,939,268,1470,8,3,3535.03,0.142,9099.17
151,440,135,1711,35,2,2101.93,0.009,4166.03
152,447,435,1345,43,4,2064.11,0.179,6778.54
153,6,136,599,5,9,2830.48,0.083,23359.95
154,89,7,104,19,6,1396.58,0.092,7608.57
155,788,340,1433,13,2,2476.59,0.116,4378.61
156,433,159,1522,35,9,1061.04,0.027,9291.53
157,726,12,142,25,7,3651.36,0.015,25176.13
158,1022,272,74,50,10,1953.49,0.012,19300.48
159,877,476,1582,14,3,4349.31,0.047,12434.68
160,207,181,941,29,5,781.22,0.17,3242.06
161,181,134,1220,45,7,208.31,0.14,1254.03
162,204,138,768,34,6,3351.93,0.064,18824.44
163,272,220,1279,11,5,967.28,0.047,4609.09
164,627,278,1127,4,4,2695.72,0.027,10491.74
165,498,56,1356,7,10,3756.88,0.022,36742.29
166,656,408,1605,12,2,1131.8,0.033,2188.9
167,71,477,431,22,8,1201.64,0.063,9007.49
168,323,254,1154,41,2,4461.18,0.107,7967.67
169,1013,32,1563,31,4,3426.23,0.09,12471.48
170,538,195,1909,22,8,1400.23,0.053,10608.14
171,713,338,222,19,2,2853.55,0.018,5604.37
172,578,441,681,9,5,4325.9,0.165,18060.63
173,281,440,998,42,10,588.45,0.008,5837.42
174,85,318,12,6,6,3864.68,0.03,22492.44
175,120,452,1768,14,4,3998.58,0.194,12891.42
176,680,423,1275,45,7,2939.74,0.103,18458.63
177,1094,108,302,33,5,2115.19,0.052,10026.0
178,4,475,1587,1,3,1892.28,0.006,5642.78
179,527,128,915,2,7,795.59,0.171,4616.81
180,1002,344,598,39,9,3508.91,0.15,26843.16
181,710,353,1889,18,4,3462.02,0.019,13584.97
182,480,483,443,2,2,4904.28,0.161,8229.38
183,843,143,564,20,3,56.48,0.024,165.37
184,905,252,890,33,1,2981.31,0.166,2486.41
185,101,187,1643,18,4,4055.64,0.026,15800.77
186,266,166,1838,21,7,3189.2,0.074,20672.39
187,792,255,1776,35,2,4154.54,0.116,7345.23
188,521,301,541,21,5,210.89,0.183,861.49
189,839,120,520,12,2,4787.02,0.004,9535.74
190,196,210,236,6,2,3437.42,0.04,6599.85
191,670,200,1180,47,8,585.56,0.162,3925.59
192,298,11,1868,17,2,3022.59,0.181,4951.0
193,38,61,1611,49,6,4859.72,0.025,28429.36
194,1037,184,1920,2,8,905.01,0.01,7167.68
195,682,318,1498,10,10,3864.68,0.087,35284.53
196,904,9,1222,25,7,520.03,0.099,3279.83
197,303,164,1543,26,7,4148.45,0.137,25060.79
198,1044,386,949,24,3,601.07,0.071,1675.18
199,960,445,982,42,3,3116.94,0.055,8836.52
200,739,44,660,37,8,4490.14,0.177,29563.08
201,233,191,232,5,1,1005.87,0.123,882.15
202,1062,110,423,2,10,2221.22,0.049,21123.8
203,820,371,769,29,5,237.12,0.1,1067.04
204,881,104,1390,7,9,501.11,0.096,4077.03
205,158,211,850,19,2,3687.82,0.056,6962.6
206,142,453,1589,24,3,800.31,0.084,2199.25
207,672,169,817,16,9,2808.93,0.05,24016.35
208,338,488,1113,1,9,507.56,0.159,3841.72
209,591,429,1791,6,7,915.63,0.156,5409.54
210,1019,369,287,42,6,1518.32,0.096,8235.37
211,828,133,483,41,8,1238.61,0.069,9225.17
212,354,110,1231,24,10,2221.22,0.1,19990.98
213,979,409,865,15,7,4542.97,0.054,30083.55
214,831,468,433,3,1,1343.19,0.064,1257.23
215,159,39,1984,21,4,1984.2,0.006,7889.18
216,865,391,1449,40,5,4950.26,0.012,24454.28
217,49,481,643,49,8,1936.53,0.106,13850.06
218,405,82,693,2,10,1013.74,0.2,8109.92
219,93,175,267,49,3,1548.21,0.02,4551.74
220,42,469,1140,28,4,1421.37,0.053,5384.15
221,611,170,1328,23,1,385.47,0.153,326.49
222,798,29,261,33,4,1231.61,0.115,4359.9
223,1003,360,1541,48,7,612.07,0.071,3980.29
224,248,44,418,24,3,4490.14,0.035,12998.96
225,1029,149,1488,35,10,1432.09,0.064,13404.36
226,634,60,1131,37,6,4380.51,0.183,21473.26
227,1060,48,1641,35,1,772.68,0.141,663.73
228,487,125,1256,41,6,314.18,0.19,1526.91
229,625,162,221,33,10,2447.77,0.028,23792.32
230,766,406,1145,3,4,2953.05,0.167,9839.56
231,728,267,876,44,8,1921.35,0.108,13710.75
232,142,379,1584,38,3,1269.87,0.098,3436.27
233,539,318,1208,8,2,3864.68,0.011,7644.34
234,708,436,21,35,10,1448.21,0.044,13844.89
235,1039,490,961,28,9,2055.79,0.096,16725.91
236,164,376,1135,17,6,2874.58,0.184,14073.94
237,531,187,854,15,4,4055.64,0.161,13610.73
238,85,455,955,9,6,475.11,0.143,2443.02
239,576,305,1378,47,6,2373.07,0.012,14067.56
240,330,499,554,43,3,4363.19,0.117,11558.09
241,433,241,286,4,3,2882.6,0.155,7307.39
242,123,3,13,23,9,2251.55,0.172,16778.55
243,1012,7,677,16,2,1396.58,0.075,2583.67
244,309,384,1889,23,7,4057.6,0.117,25080.03
245,987,306,63,20,6,2824.21,0.06,15928.54
246,34,418,34,46,3,411.4,0.195,993.53
247,778,251,1320,25,7,3341.21,0.158,19693.09
248,1010,333,1627,32,8,2183.52,0.13,15197.3
249,592,126,1969,11,3,295.25,0.141,760.86
250,413,442,1979,18,9,3291.73,0.139,25507.62
251,590,41,665,38,10,706.76,0.157,5957.99
252,42,491,1324,22,4,4850.08,0.133,16820.08
253,106,69,578,31,3,1627.54,0.076,4511.54
254,1002,262,1563,20,5,1380.24,0.025,6728.67
255,331,6,36,1,1,3493.72,0.19,2829.91
256,962,425,122,3,10,4108.89,0.078,37883.97
257,52,294,1697,38,10,3808.54,0.006,37856.89
258,51,128,1438,36,10,795.59,0.064,7446.72
259,718,272,429,21,10,1953.49,0.044,18675.36
260,1047,383,1244,18,10,277.51,0.021,2716.82
261,964,67,1485,13,8,2701.5,0.028,21006.86
262,249,75,68,6,2,4081.96,0.048,7772.05
263,1018,483,483,40,6,4904.28,0.034,28425.21
264,692,299,512,16,2,1128.87,0.164,1887.47
265,435,24,1738,6,6,1857.2,0.089,10151.46
266,1077,188,1944,34,5,804.4,0.042,3853.08
267,664,253,1495,7,2,3067.14,0.07,5704.88
268,468,434,325,14,2,4290.09,0.144,7344.63
269,301,496,1467,25,1,4298.12,0.077,3967.16
270,64,168,941,49,7,2762.89,0.194,15588.23
271,331,11,1342,6,7,3022.59,0.099,19063.48
272,167,139,1950,49,7,1201.04,0.07,7818.77
273,296,125,357,29,7,314.18,0.02,2155.27
274,966,49,1831,12,8,3962.48,0.158,26691.27
275,349,472,1481,33,10,4327.65,0.13,37650.56
276,1013,64,1181,31,4,4209.93,0.033,16284.01
277,800,192,1406,39,2,1754.8,0.16,2948.06
278,1008,22,1462,48,1,1397.09,0.059,1314.66
279,830,318,1114,43,6,3864.68,0.052,21982.3
280,163,378,571,4,2,929.97,0.015,1832.04
281,743,276,189,41,3,4714.28,0.178,11625.41
282,674,302,1740,38,3,4748.56,0.146,12165.81
283,854,3,570,28,9,2251.55,0.188,16454.33
284,1001,30,1850,1,2,1903.48,0.068,3548.09
285,476,377,1954,48,10,2398.78,0.179,19693.98
286,128,471,1646,29,1,4994.52,0.086,4564.99
287,270,42,1902,42,3,2811.23,0.121,7413.21
288,8,207,1106,47,7,958.49,0.031,6501.44
289,857,405,1217,17,2,3941.26,0.066,7362.27
290,467,85,1527,42,4,4499.07,0.082,16520.59
291,952,28,110,19,9,863.98,0.144,6656.1
292,393,386,551,48,9,601.07,0.053,5122.92
293,594,187,481,7,5,4055.64,0.059,19081.79
294,807,291,988,48,2,916.83,0.01,1815.32
295,1017,256,185,29,10,2235.11,0.11,19892.48
296,757,222,1964,35,8,3743.19,0.031,29017.21
297,53,201,1731,19,6,901.05,0.001,5400.89
298,8,120,1386,42,2,4787.02,0.059,9009.17
299,872,91,1633,13,10,303.78,0.096,2746.17
300,620,331,1766,24,2,3083.4,0.005,6135.97
301,893,54,637,16,3,3404.61,0.128,8906.46
302,430,136,429,18,2,2830.48,0.095,5123.17
303,750,1,1931,15,2,3582.94,0.062,6721.6
304,89,85,162,5,7,4499.07,0.094,28533.1
305,824,200,958,34,5,585.56,0.018,2875.1
306,399,59,1337,11,9,26.19,0.078,217.32
307,504,290,1607,24,6,2148.78,0.177,10610.68
308,130,160,502,7,6,1025.95,0.037,5927.94
309,160,290,1212,19,1,2148.78,0.053,2034.89
310,443,403,656,43,8,4299.44,0.053,32572.56
311,71,212,258,3,5,1827.47,0.113,8104.83
312,262,409,527,43,3,4542.97,0.15,11584.57
313,537,390,1358,12,2,1493.79,0.017,2936.79
314,835,473,1384,44,6,2697.52,0.162,13563.13
315,883,81,603,26,7,3778.77,0.194,21319.82
316,123,85,764,27,10,4499.07,0.046,42921.13
317,262,223,1031,11,1,3081.42,0.168,2563.74
318,245,293,765,16,9,2278.95,0.084,18787.66
319,939,164,491,3,9,4148.45,0.137,32221.01
320,5,330,42,2,8,4827.71,0.115,34180.19
321,280,436,1866,29,4,1448.21,0.095,5242.52
322,753,5,647,8,2,3796.45,0.079,6993.06
323,133,181,1693,40,1,781.22,0.1,703.1
324,607,108,1584,1,9,2115.19,0.16,15990.84
325,406,129,1390,13,10,409.76,0.029,3978.77
326,1088,386,338,40,8,601.07,0.035,4640.26
327,889,77,128,25,3,3302.16,0.194,7984.62
328,580,69,660,33,4,1627.54,0.025,6347.41
329,22,251,1577,23,7,3341.21,0.016,23014.25
330,615,150,953,21,7,4170.39,0.04,28025.02
331,573,165,1925,1,3,27.69,0.167,69.2
332,779,130,1708,8,5,351.92,0.064,1646.99
333,726,329,851,24,2,888.92,0.017,1747.62
334,524,382,723,42,9,2889.34,0.079,23949.74
335,470,256,1192,37,6,2235.11,0.171,11117.44
336,913,82,461,5,9,1013.74,0.092,8284.28
337,514,203,731,12,1,2178.47,0.157,1836.45
338,881,16,615,4,10,4428.4,0.118,39058.49
339,133,74,1697,20,7,437.41,0.023,2991.45
340,971,262,508,12,3,1380.24,0.03,4016.5
341,338,484,1574,26,10,4824.47,0.117,42600.07
342,520,433,24,8,2,1612.08,0.185,2627.69
343,962,96,1561,22,10,3619.53,0.156,30548.83
344,636,419,1407,26,5,4448.22,0.173,18393.39
345,683,119,1459,32,6,1433.39,0.176,7086.68
346,694,345,206,29,5,2783.4,0.077,12845.39
347,643,452,1699,6,8,3998.58,0.114,28341.94
348,1004,493,97,5,8,1699.42,0.007,13500.19
349,528,485,200,40,5,2516.43,0.081,11563.0
350,56,367,307,46,10,4164.82,0.122,36567.12
351,1028,21,215,6,7,4333.75,0.008,30093.56
352,486,447,109,21,6,1025.76,0.138,5305.23
353,698,395,1708,49,1,3131.32,0.149,2664.75
354,947,231,1513,10,5,856.76,0.179,3517.0
355,105,418,785,1,1,411.4,0.068,383.42
356,298,409,1653,33,5,4542.97,0.062,21306.53
357,1005,414,1054,6,8,630.52,0.172,4176.56
358,528,417,1627,24,2,2704.51,0.194,4359.67
359,950,187,1621,48,4,4055.64,0.027,15784.55
360,189,135,1846,32,8,2101.93,0.155,14209.05
361,218,65,1355,13,6,3048.76,0.054,17304.76
362,620,38,1165,36,7,1071.01,0.121,6589.92
363,936,96,154,20,2,3619.53,0.038,6963.98
364,895,85,1029,13,4,4499.07,0.183,14702.96
365,402,234,1449,41,7,476.0,0.148,2838.86
366,510,121,853,6,9,3312.74,0.173,24656.72
367,1055,178,279,10,1,522.94,0.103,469.08
368,588,101,1979,41,3,2123.66,0.013,6288.16
369,827,364,912,7,9,3695.64,0.081,30566.64
370,995,419,611,2,9,4448.22,0.176,32988.0
371,16,477,702,17,1,1201.64,0.035,1159.58
372,195,374,1576,26,4,4343.62,0.167,14472.94
373,814,193,1054,39,4,1122.39,0.007,4458.13
374,251,273,1066,13,1,4730.85,0.184,3860.37
375,272,22,694,10,4,1397.09,0.055,5281.0
376,938,314,60,37,8,1989.31,0.101,14307.12
377,426,199,1242,12,2,1662.44,0.136,2872.7
378,388,368,1023,46,4,1145.14,0.074,4241.6
379,948,483,456,44,10,4904.28,0.089,44677.99
380,630,104,157,23,8,501.11,0.117,3539.84
381,785,230,1469,12,6,2371.2,0.069,13245.52
382,400,362,1936,40,5,2683.96,0.15,11406.83
383,853,484,1676,13,2,4824.47,0.057,9098.95
384,718,4,792,30,7,4049.06,0.01,28059.99
385,684,399,568,43,10,2048.5,0.156,17289.34
386,825,80,1263,1,4,4822.17,0.171,15990.32
387,507,341,1759,5,4,917.38,0.136,3170.47
388,339,433,581,22,5,1612.08,0.13,7012.55
389,1047,172,1795,29,9,189.78,0.004,1701.19
390,906,246,1792,46,1,3894.32,0.095,3524.36
391,679,335,840,29,3,4260.05,0.129,11131.51
392,741,430,1827,7,10,2185.07,0.16,18354.59
393,416,78,567,16,4,833.98,0.05,3169.12
394,683,371,1915,3,5,237.12,0.143,1016.06
395,687,152,380,13,5,2649.41,0.085,12121.05
396,494,323,1491,45,7,1859.15,0.17,10801.66
397,752,302,559,23,8,4748.56,0.05,36089.06
398,439,335,667,10,8,4260.05,0.06,32035.58
399,552,275,1979,43,9,1908.1,0.165,14339.37
400,766,36,313,24,7,4566.55,0.117,28225.85
401,839,11,459,46,1,3022.59,0.102,2714.29
402,857,364,1817,39,6,3695.64,0.112,19690.37
403,426,24,946,7,10,1857.2,0.122,16306.22
404,689,36,168,5,5,4566.55,0.137,19704.66
405,1023,464,402,21,8,2546.12,0.013,20104.16
406,849,101,1027,39,5,2123.66,0.128,9259.16
407,66,114,1034,1,5,839.89,0.052,3981.08
408,67,354,478,10,5,3323.16,0.038,15984.4
409,201,248,1840,31,9,2594.61,0.153,19778.71
410,1027,108,1465,40,1,2115.19,0.161,1774.64
411,796,34,1435,23,10,4027.18,0.081,37009.78
412,209,163,738,46,6,470.57,0.136,2439.43
413,380,272,1991,7,1,1953.49,0.131,1697.58
414,498,493,1432,2,5,1699.42,0.052,8055.25
415,881,386,519,3,7,601.07,0.081,3866.68
416,828,201,1624,40,1,901.05,0.117,795.63
417,681,25,210,15,10,3354.17,0.163,28074.4
418,425,441,1697,5,6,4325.9,0.145,22191.87
419,743,392,1502,39,4,2847.46,0.137,9829.43
420,237,206,1405,23,8,587.07,0.181,3846.48
421,341,203,703,34,6,2178.47,0.101,11750.67
422,541,467,54,29,3,1705.98,0.168,4258.13
423,702,29,828,17,9,1231.61,0.036,10685.45
424,557,109,668,40,2,2318.51,0.094,4201.14
425,590,455,1385,24,5,475.11,0.145,2031.1
426,597,432,1890,16,9,1746.33,0.153,13312.27
427,950,429,973,20,3,915.63,0.189,2227.73
428,708,385,1017,50,6,435.05,0.131,2268.35
429,467,347,1757,22,4,1214.37,0.071,4512.6
430,897,397,133,25,5,1206.93,0.084,5527.74
431,593,108,1721,29,6,2115.19,0.074,11752.0
432,17,189,1512,2,10,549.4,0.059,5169.85
433,168,86,6,40,2,613.81,0.094,1112.22
434,817,105,402,25,10,3643.79,0.116,32211.1
435,41,366,1711,4,10,2987.99,0.014,29461.58
436,806,190,320,49,4,4294.38,0.1,15459.77
437,173,35,198,12,7,1346.03,0.106,8423.46
438,992,413,226,28,7,4606.75,0.011,31892.53
439,855,20,764,27,3,4926.26,0.027,14379.75
440,1052,195,907,33,4,1400.23,0.069,5214.46
441,584,258,505,19,10,2255.85,0.179,18520.53
442,810,380,661,27,8,579.29,0.029,4499.92
443,674,343,107,29,3,1708.29,0.156,4325.39
444,505,90,1938,47,8,364.26,0.067,2718.84
445,767,450,1941,10,3,2428.71,0.063,6827.1
446,564,321,479,37,1,3915.35,0.001,3911.43
447,2,40,1114,5,5,2299.67,0.042,11015.42
448,988,277,393,42,3,3769.84,0.115,10008.93
449,933,125,1039,3,3,314.18,0.098,850.17
450,95,311,1798,4,2,4823.96,0.026,9397.07
451,340,351,1684,27,7,3966.74,0.127,24240.75
452,107,211,1378,41,7,3687.82,0.086,23594.67
453,954,136,1243,11,8,2830.48,0.077,20900.26
454,1045,164,1982,37,1,4148.45,0.107,3704.57
455,53,288,519,24,6,2963.54,0.19,14402.8
456,418,267,993,22,6,1921.35,0.151,9787.36
457,549,139,1151,32,9,1201.04,0.038,10398.6
458,304,403,634,20,1,4299.44,0.125,3762.01
459,1039,448,1630,10,4,663.76,0.045,2535.56
460,747,256,974,37,6,2235.11,0.062,12579.2
461,846,406,1096,20,2,2953.05,0.077,5451.33
462,892,338,282,14,10,2853.55,0.061,26794.83
463,114,178,247,48,2,522.94,0.165,873.31
464,183,195,1714,37,5,1400.23,0.19,5670.93
465,13,88,253,24,8,2945.66,0.146,20124.75
466,47,166,819,32,10,3189.2,0.105,28543.34
467,681,390,1477,26,7,1493.79,0.178,8595.27
468,923,209,971,37,3,2604.4,0.069,7274.09
469,211,282,323,32,8,2433.35,0.072,18065.19
470,683,227,1036,14,4,3037.24,0.033,11748.04
471,565,369,1533,11,7,1518.32,0.004,10585.73
472,49,457,957,38,4,3242.07,0.145,11087.88
473,545,380,38,26,3,579.29,0.042,1664.88
474,441,274,786,11,1,4285.09,0.118,3779.45
475,407,455,1892,50,3,475.11,0.025,1389.7
476,514,114,146,32,1,839.89,0.075,776.9
477,229,266,1727,7,5,700.49,0.154,2963.07
478,147,462,1707,17,10,2289.36,0.01,22664.66
479,536,417,225,4,1,2704.51,0.132,2347.51
480,566,225,1238,24,1,1526.34,0.01,1511.08
481,488,486,1006,1,2,1666.65,0.083,3056.64
482,11,153,82,3,7,4087.35,0.025,27896.16
483,814,25,1568,11,5,3354.17,0.095,15177.62
484,220,301,1820,23,3,210.89,0.041,606.73
485,67,67,1956,4,1,2701.5,0.06,2539.41
486,1013,215,212,38,2,4241.6,0.132,7363.42
487,817,57,836,10,5,1707.48,0.125,7470.22
488,85,392,1993,25,3,2847.46,0.084,7824.82
489,910,40,305,32,2,2299.67,0.102,4130.21
490,581,107,1708,35,10,2686.07,0.024,26216.04
491,748,356,208,37,2,1725.35,0.157,2908.94
492,63,108,197,23,8,2115.19,0.04,16244.66
493,832,386,48,32,4,601.07,0.156,2029.21
494,519,175,1296,5,9,1548.21,0.195,11216.78
495,882,473,1917,23,6,2697.52,0.141,13903.02
496,987,23,1643,46,5,4172.21,0.032,20193.5
497,56,88,1808,14,9,2945.66,0.099,23886.36
498,144,208,241,47,4,3546.84,0.138,12229.5
499,390,446,886,33,8,3130.79,0.066,23393.26
500,121,417,86,48,1,2704.51,0.003,2696.4
501,238,456,1905,8,2,2312.62,0.181,3788.07
502,95,406,177,40,10,2953.05,0.134,25573.41
503,959,305,1288,41,3,2373.07,0.19,5766.56
504,919,34,9,17,9,4027.18,0.015,35700.95
505,424,420,796,19,2,1618.38,0.181,2650.91
506,662,231,636,2,4,856.76,0.091,3115.18
507,226,165,1865,20,5,27.69,0.053,131.11
508,425,257,619,19,1,3720.84,0.02,3646.42
509,612,62,813,29,3,2543.33,0.175,6294.74
510,50,397,1500,18,5,1206.93,0.072,5600.16
511,41,379,220,42,6,1269.87,0.085,6971.59
512,653,202,408,24,2,200.9,0.019,394.17
513,1044,160,631,3,1,1025.95,0.002,1023.9
514,451,456,1844,12,3,2312.62,0.133,6015.12
515,597,434,1368,5,3,4290.09,0.066,12020.83
516,1055,342,995,9,8,1780.58,0.191,11523.91
517,314,375,11,28,5,521.91,0.176,2150.27
518,784,150,507,44,2,4170.39,0.075,7715.22
519,904,500,494,5,6,3091.12,0.037,17860.49
520,815,212,1784,22,7,1827.47,0.08,11768.91
521,992,273,1156,39,8,4730.85,0.054,35803.07
522,939,19,422,10,7,1147.21,0.138,6922.27
523,295,8,1671,37,8,4786.49,0.16,32165.21
524,665,230,378,36,3,2371.2,0.023,6949.99
525,1048,494,1682,10,1,1993.44,0.196,1602.73
526,1055,218,1540,21,3,1637.65,0.021,4809.78
527,82,378,1423,8,10,929.97,0.097,8397.63
528,194,468,941,40,10,1343.19,0.136,11605.16
